District,Area (Ha),Production (Tonnes),Year,Disruption,Severity (%),Production Loss (Tonnes),Adjusted Production (Tonnes),Description
Thiruvananthapuram,2264.23,959.8,2001,0,0,0.0,959.8,"In 2001, the district Thiruvananthapuram had an area of 2264.23 hectares dedicated to pepper cultivation, producing 959.8 tonnes without any disruptions."
Kollam,3480.09,1142.26,2001,0,0,0.0,1142.26,"In 2001, the district Kollam had an area of 3480.09 hectares dedicated to pepper cultivation, producing 1142.26 tonnes without any disruptions."
Pathanamthitta,1746.6,612.9,2001,0,0,0.0,612.9,"In 2001, the district Pathanamthitta had an area of 1746.6 hectares dedicated to pepper cultivation, producing 612.9 tonnes without any disruptions."
Alappuzha,622.08,135.32,2001,0,0,0.0,135.32,"In 2001, the district Alappuzha had an area of 622.08 hectares dedicated to pepper cultivation, producing 135.32 tonnes without any disruptions."
Kottayam,3104.41,1110.44,2001,0,0,0.0,1110.44,"In 2001, the district Kottayam had an area of 3104.41 hectares dedicated to pepper cultivation, producing 1110.44 tonnes without any disruptions."
Idukki,41225.3,24617.96,2001,0,0,0.0,24617.96,"In 2001, the district Idukki had an area of 41225.3 hectares dedicated to pepper cultivation, producing 24617.96 tonnes without any disruptions."
Ernakulam,1784.49,503.71,2001,0,0,0.0,503.71,"In 2001, the district Ernakulam had an area of 1784.49 hectares dedicated to pepper cultivation, producing 503.71 tonnes without any disruptions."
Thrissur,1855.55,496.54,2001,0,0,0.0,496.54,"In 2001, the district Thrissur had an area of 1855.55 hectares dedicated to pepper cultivation, producing 496.54 tonnes without any disruptions."
Palakkad,2535.38,963.65,2001,0,0,0.0,963.65,"In 2001, the district Palakkad had an area of 2535.38 hectares dedicated to pepper cultivation, producing 963.65 tonnes without any disruptions."
Malappuram,2999.13,469.57,2001,0,0,0.0,469.57,"In 2001, the district Malappuram had an area of 2999.13 hectares dedicated to pepper cultivation, producing 469.57 tonnes without any disruptions."
Kozhikode,3307.45,889.22,2001,0,0,0.0,889.22,"In 2001, the district Kozhikode had an area of 3307.45 hectares dedicated to pepper cultivation, producing 889.22 tonnes without any disruptions."
Wayanad,13085.29,6902.81,2001,0,0,0.0,6902.81,"In 2001, the district Wayanad had an area of 13085.29 hectares dedicated to pepper cultivation, producing 6902.81 tonnes without any disruptions."
Kannur,4410.92,1604.63,2001,0,0,0.0,1604.63,"In 2001, the district Kannur had an area of 4410.92 hectares dedicated to pepper cultivation, producing 1604.63 tonnes without any disruptions."
Kasaragode,2667.98,1154.8,2001,0,0,0.0,1154.8,"In 2001, the district Kasaragode had an area of 2667.98 hectares dedicated to pepper cultivation, producing 1154.8 tonnes without any disruptions."
Thiruvananthapuram,2220.04,941.07,2002,0,0,0.0,941.07,"In 2002, the district Thiruvananthapuram had an area of 2220.04 hectares dedicated to pepper cultivation, producing 941.07 tonnes without any disruptions."
Kollam,3224.57,1058.39,2002,0,0,0.0,1058.39,"In 2002, the district Kollam had an area of 3224.57 hectares dedicated to pepper cultivation, producing 1058.39 tonnes without any disruptions."
Pathanamthitta,1673.58,587.27,2002,0,0,0.0,587.27,"In 2002, the district Pathanamthitta had an area of 1673.58 hectares dedicated to pepper cultivation, producing 587.27 tonnes without any disruptions."
Alappuzha,617.52,134.33,2002,0,0,0.0,134.33,"In 2002, the district Alappuzha had an area of 617.52 hectares dedicated to pepper cultivation, producing 134.33 tonnes without any disruptions."
Kottayam,3193.12,1142.17,2002,0,0,0.0,1142.17,"In 2002, the district Kottayam had an area of 3193.12 hectares dedicated to pepper cultivation, producing 1142.17 tonnes without any disruptions."
Idukki,41802.67,24962.74,2002,0,0,0.0,24962.74,"In 2002, the district Idukki had an area of 41802.67 hectares dedicated to pepper cultivation, producing 24962.74 tonnes without any disruptions."
Ernakulam,1887.88,532.89,2002,0,0,0.0,532.89,"In 2002, the district Ernakulam had an area of 1887.88 hectares dedicated to pepper cultivation, producing 532.89 tonnes without any disruptions."
Thrissur,1725.47,461.73,2002,0,0,0.0,461.73,"In 2002, the district Thrissur had an area of 1725.47 hectares dedicated to pepper cultivation, producing 461.73 tonnes without any disruptions."
Palakkad,2457.83,934.17,2002,0,0,0.0,934.17,"In 2002, the district Palakkad had an area of 2457.83 hectares dedicated to pepper cultivation, producing 934.17 tonnes without any disruptions."
Malappuram,2898.74,453.85,2002,0,0,0.0,453.85,"In 2002, the district Malappuram had an area of 2898.74 hectares dedicated to pepper cultivation, producing 453.85 tonnes without any disruptions."
Kozhikode,3458.74,929.9,2002,0,0,0.0,929.9,"In 2002, the district Kozhikode had an area of 3458.74 hectares dedicated to pepper cultivation, producing 929.9 tonnes without any disruptions."
Wayanad,12854.41,6781.01,2002,0,0,0.0,6781.01,"In 2002, the district Wayanad had an area of 12854.41 hectares dedicated to pepper cultivation, producing 6781.01 tonnes without any disruptions."
Kannur,4140.79,1506.36,2002,0,0,0.0,1506.36,"In 2002, the district Kannur had an area of 4140.79 hectares dedicated to pepper cultivation, producing 1506.36 tonnes without any disruptions."
Kasaragode,2750.91,1190.69,2002,0,0,0.0,1190.69,"In 2002, the district Kasaragode had an area of 2750.91 hectares dedicated to pepper cultivation, producing 1190.69 tonnes without any disruptions."
Thiruvananthapuram,2314.19,980.98,2003,0,0,0.0,980.98,"In 2003, the district Thiruvananthapuram had an area of 2314.19 hectares dedicated to pepper cultivation, producing 980.98 tonnes without any disruptions."
Kollam,3178.97,1043.43,2003,0,0,0.0,1043.43,"In 2003, the district Kollam had an area of 3178.97 hectares dedicated to pepper cultivation, producing 1043.43 tonnes without any disruptions."
Pathanamthitta,1725.36,605.44,2003,0,0,0.0,605.44,"In 2003, the district Pathanamthitta had an area of 1725.36 hectares dedicated to pepper cultivation, producing 605.44 tonnes without any disruptions."
Alappuzha,595.7,129.58,2003,0,0,0.0,129.58,"In 2003, the district Alappuzha had an area of 595.7 hectares dedicated to pepper cultivation, producing 129.58 tonnes without any disruptions."
Kottayam,3075.16,1099.98,2003,0,0,0.0,1099.98,"In 2003, the district Kottayam had an area of 3075.16 hectares dedicated to pepper cultivation, producing 1099.98 tonnes without any disruptions."
Idukki,44610.47,26639.43,2003,0,0,0.0,26639.43,"In 2003, the district Idukki had an area of 44610.47 hectares dedicated to pepper cultivation, producing 26639.43 tonnes without any disruptions."
Ernakulam,1953.93,551.54,2003,0,0,0.0,551.54,"In 2003, the district Ernakulam had an area of 1953.93 hectares dedicated to pepper cultivation, producing 551.54 tonnes without any disruptions."
Thrissur,1845.2,493.77,2003,0,0,0.0,493.77,"In 2003, the district Thrissur had an area of 1845.2 hectares dedicated to pepper cultivation, producing 493.77 tonnes without any disruptions."
Palakkad,2460.96,935.36,2003,0,0,0.0,935.36,"In 2003, the district Palakkad had an area of 2460.96 hectares dedicated to pepper cultivation, producing 935.36 tonnes without any disruptions."
Malappuram,2819.8,441.49,2003,0,0,0.0,441.49,"In 2003, the district Malappuram had an area of 2819.8 hectares dedicated to pepper cultivation, producing 441.49 tonnes without any disruptions."
Kozhikode,3538.0,951.21,2003,0,0,0.0,951.21,"In 2003, the district Kozhikode had an area of 3538.0 hectares dedicated to pepper cultivation, producing 951.21 tonnes without any disruptions."
Wayanad,12423.2,6553.54,2003,0,0,0.0,6553.54,"In 2003, the district Wayanad had an area of 12423.2 hectares dedicated to pepper cultivation, producing 6553.54 tonnes without any disruptions."
Kannur,4107.65,1494.3,2003,0,0,0.0,1494.3,"In 2003, the district Kannur had an area of 4107.65 hectares dedicated to pepper cultivation, producing 1494.3 tonnes without any disruptions."
Kasaragode,2745.68,1188.43,2003,0,0,0.0,1188.43,"In 2003, the district Kasaragode had an area of 2745.68 hectares dedicated to pepper cultivation, producing 1188.43 tonnes without any disruptions."
Thiruvananthapuram,2186.24,926.74,2004,0,0,0.0,926.74,"In 2004, the district Thiruvananthapuram had an area of 2186.24 hectares dedicated to pepper cultivation, producing 926.74 tonnes without any disruptions."
Kollam,3466.3,1137.74,2004,0,0,0.0,1137.74,"In 2004, the district Kollam had an area of 3466.3 hectares dedicated to pepper cultivation, producing 1137.74 tonnes without any disruptions."
Pathanamthitta,1665.82,584.55,2004,0,0,0.0,584.55,"In 2004, the district Pathanamthitta had an area of 1665.82 hectares dedicated to pepper cultivation, producing 584.55 tonnes without any disruptions."
Alappuzha,626.01,136.18,2004,0,0,0.0,136.18,"In 2004, the district Alappuzha had an area of 626.01 hectares dedicated to pepper cultivation, producing 136.18 tonnes without any disruptions."
Kottayam,3154.47,1128.35,2004,0,0,0.0,1128.35,"In 2004, the district Kottayam had an area of 3154.47 hectares dedicated to pepper cultivation, producing 1128.35 tonnes without any disruptions."
Idukki,42779.68,25546.16,2004,0,0,0.0,25546.16,"In 2004, the district Idukki had an area of 42779.68 hectares dedicated to pepper cultivation, producing 25546.16 tonnes without any disruptions."
Ernakulam,1875.72,529.46,2004,0,0,0.0,529.46,"In 2004, the district Ernakulam had an area of 1875.72 hectares dedicated to pepper cultivation, producing 529.46 tonnes without any disruptions."
Thrissur,1733.59,463.9,2004,0,0,0.0,463.9,"In 2004, the district Thrissur had an area of 1733.59 hectares dedicated to pepper cultivation, producing 463.9 tonnes without any disruptions."
Palakkad,2627.87,998.8,2004,0,0,0.0,998.8,"In 2004, the district Palakkad had an area of 2627.87 hectares dedicated to pepper cultivation, producing 998.8 tonnes without any disruptions."
Malappuram,3018.83,472.66,2004,0,0,0.0,472.66,"In 2004, the district Malappuram had an area of 3018.83 hectares dedicated to pepper cultivation, producing 472.66 tonnes without any disruptions."
Kozhikode,3626.68,975.05,2004,0,0,0.0,975.05,"In 2004, the district Kozhikode had an area of 3626.68 hectares dedicated to pepper cultivation, producing 975.05 tonnes without any disruptions."
Wayanad,12991.46,6853.31,2004,0,0,0.0,6853.31,"In 2004, the district Wayanad had an area of 12991.46 hectares dedicated to pepper cultivation, producing 6853.31 tonnes without any disruptions."
Kannur,4310.79,1568.2,2004,0,0,0.0,1568.2,"In 2004, the district Kannur had an area of 4310.79 hectares dedicated to pepper cultivation, producing 1568.2 tonnes without any disruptions."
Kasaragode,2862.89,1239.16,2004,0,0,0.0,1239.16,"In 2004, the district Kasaragode had an area of 2862.89 hectares dedicated to pepper cultivation, producing 1239.16 tonnes without any disruptions."
Thiruvananthapuram,2198.64,932.0,2005,0,0,0.0,932.0,"In 2005, the district Thiruvananthapuram had an area of 2198.64 hectares dedicated to pepper cultivation, producing 932.0 tonnes without any disruptions."
Kollam,3228.76,1059.77,2005,0,0,0.0,1059.77,"In 2005, the district Kollam had an area of 3228.76 hectares dedicated to pepper cultivation, producing 1059.77 tonnes without any disruptions."
Pathanamthitta,1629.37,571.76,2005,0,0,0.0,571.76,"In 2005, the district Pathanamthitta had an area of 1629.37 hectares dedicated to pepper cultivation, producing 571.76 tonnes without any disruptions."
Alappuzha,605.24,131.66,2005,0,0,0.0,131.66,"In 2005, the district Alappuzha had an area of 605.24 hectares dedicated to pepper cultivation, producing 131.66 tonnes without any disruptions."
Kottayam,3179.21,1137.2,2005,0,0,0.0,1137.2,"In 2005, the district Kottayam had an area of 3179.21 hectares dedicated to pepper cultivation, producing 1137.2 tonnes without any disruptions."
Idukki,41717.8,24912.06,2005,0,0,0.0,24912.06,"In 2005, the district Idukki had an area of 41717.8 hectares dedicated to pepper cultivation, producing 24912.06 tonnes without any disruptions."
Ernakulam,1928.38,544.33,2005,0,0,0.0,544.33,"In 2005, the district Ernakulam had an area of 1928.38 hectares dedicated to pepper cultivation, producing 544.33 tonnes without any disruptions."
Thrissur,1764.36,472.14,2005,0,0,0.0,472.14,"In 2005, the district Thrissur had an area of 1764.36 hectares dedicated to pepper cultivation, producing 472.14 tonnes without any disruptions."
Palakkad,2455.01,933.1,2005,0,0,0.0,933.1,"In 2005, the district Palakkad had an area of 2455.01 hectares dedicated to pepper cultivation, producing 933.1 tonnes without any disruptions."
Malappuram,2950.54,461.96,2005,0,0,0.0,461.96,"In 2005, the district Malappuram had an area of 2950.54 hectares dedicated to pepper cultivation, producing 461.96 tonnes without any disruptions."
Kozhikode,3349.26,900.46,2005,0,0,0.0,900.46,"In 2005, the district Kozhikode had an area of 3349.26 hectares dedicated to pepper cultivation, producing 900.46 tonnes without any disruptions."
Wayanad,12875.69,6792.24,2005,0,0,0.0,6792.24,"In 2005, the district Wayanad had an area of 12875.69 hectares dedicated to pepper cultivation, producing 6792.24 tonnes without any disruptions."
Kannur,4087.38,1486.93,2005,0,0,0.0,1486.93,"In 2005, the district Kannur had an area of 4087.38 hectares dedicated to pepper cultivation, producing 1486.93 tonnes without any disruptions."
Kasaragode,2880.75,1246.89,2005,0,0,0.0,1246.89,"In 2005, the district Kasaragode had an area of 2880.75 hectares dedicated to pepper cultivation, producing 1246.89 tonnes without any disruptions."
Thiruvananthapuram,2355.43,998.46,2006,0,0,0.0,998.46,"In 2006, the district Thiruvananthapuram had an area of 2355.43 hectares dedicated to pepper cultivation, producing 998.46 tonnes without any disruptions."
Kollam,3229.67,1060.07,2006,0,0,0.0,1060.07,"In 2006, the district Kollam had an area of 3229.67 hectares dedicated to pepper cultivation, producing 1060.07 tonnes without any disruptions."
Pathanamthitta,1622.59,569.38,2006,0,0,0.0,569.38,"In 2006, the district Pathanamthitta had an area of 1622.59 hectares dedicated to pepper cultivation, producing 569.38 tonnes without any disruptions."
Alappuzha,635.43,138.23,2006,0,0,0.0,138.23,"In 2006, the district Alappuzha had an area of 635.43 hectares dedicated to pepper cultivation, producing 138.23 tonnes without any disruptions."
Kottayam,3281.5,1173.79,2006,0,0,0.0,1173.79,"In 2006, the district Kottayam had an area of 3281.5 hectares dedicated to pepper cultivation, producing 1173.79 tonnes without any disruptions."
Idukki,43671.72,26078.85,2006,0,0,0.0,26078.85,"In 2006, the district Idukki had an area of 43671.72 hectares dedicated to pepper cultivation, producing 26078.85 tonnes without any disruptions."
Ernakulam,1917.65,541.3,2006,0,0,0.0,541.3,"In 2006, the district Ernakulam had an area of 1917.65 hectares dedicated to pepper cultivation, producing 541.3 tonnes without any disruptions."
Thrissur,1713.75,458.6,2006,0,0,0.0,458.6,"In 2006, the district Thrissur had an area of 1713.75 hectares dedicated to pepper cultivation, producing 458.6 tonnes without any disruptions."
Palakkad,2474.47,940.5,2006,0,0,0.0,940.5,"In 2006, the district Palakkad had an area of 2474.47 hectares dedicated to pepper cultivation, producing 940.5 tonnes without any disruptions."
Malappuram,2825.14,442.33,2006,0,0,0.0,442.33,"In 2006, the district Malappuram had an area of 2825.14 hectares dedicated to pepper cultivation, producing 442.33 tonnes without any disruptions."
Kozhikode,3600.14,967.91,2006,0,0,0.0,967.91,"In 2006, the district Kozhikode had an area of 3600.14 hectares dedicated to pepper cultivation, producing 967.91 tonnes without any disruptions."
Wayanad,12652.1,6674.29,2006,0,0,0.0,6674.29,"In 2006, the district Wayanad had an area of 12652.1 hectares dedicated to pepper cultivation, producing 6674.29 tonnes without any disruptions."
Kannur,4196.81,1526.74,2006,0,0,0.0,1526.74,"In 2006, the district Kannur had an area of 4196.81 hectares dedicated to pepper cultivation, producing 1526.74 tonnes without any disruptions."
Kasaragode,2627.11,1137.11,2006,0,0,0.0,1137.11,"In 2006, the district Kasaragode had an area of 2627.11 hectares dedicated to pepper cultivation, producing 1137.11 tonnes without any disruptions."
Thiruvananthapuram,2249.66,953.63,2007,0,0,0.0,953.63,"In 2007, the district Thiruvananthapuram had an area of 2249.66 hectares dedicated to pepper cultivation, producing 953.63 tonnes without any disruptions."
Kollam,3271.79,1073.89,2007,0,0,0.0,1073.89,"In 2007, the district Kollam had an area of 3271.79 hectares dedicated to pepper cultivation, producing 1073.89 tonnes without any disruptions."
Pathanamthitta,1746.19,612.75,2007,0,0,0.0,612.75,"In 2007, the district Pathanamthitta had an area of 1746.19 hectares dedicated to pepper cultivation, producing 612.75 tonnes without any disruptions."
Alappuzha,624.47,135.84,2007,0,0,0.0,135.84,"In 2007, the district Alappuzha had an area of 624.47 hectares dedicated to pepper cultivation, producing 135.84 tonnes without any disruptions."
Kottayam,3339.49,1194.53,2007,0,0,0.0,1194.53,"In 2007, the district Kottayam had an area of 3339.49 hectares dedicated to pepper cultivation, producing 1194.53 tonnes without any disruptions."
Idukki,42575.37,25424.16,2007,0,0,0.0,25424.16,"In 2007, the district Idukki had an area of 42575.37 hectares dedicated to pepper cultivation, producing 25424.16 tonnes without any disruptions."
Ernakulam,1795.98,506.95,2007,0,0,0.0,506.95,"In 2007, the district Ernakulam had an area of 1795.98 hectares dedicated to pepper cultivation, producing 506.95 tonnes without any disruptions."
Thrissur,1828.17,489.21,2007,0,0,0.0,489.21,"In 2007, the district Thrissur had an area of 1828.17 hectares dedicated to pepper cultivation, producing 489.21 tonnes without any disruptions."
Palakkad,2575.46,978.88,2007,0,0,0.0,978.88,"In 2007, the district Palakkad had an area of 2575.46 hectares dedicated to pepper cultivation, producing 978.88 tonnes without any disruptions."
Malappuram,2956.0,462.82,2007,0,0,0.0,462.82,"In 2007, the district Malappuram had an area of 2956.0 hectares dedicated to pepper cultivation, producing 462.82 tonnes without any disruptions."
Kozhikode,3568.13,959.31,2007,0,0,0.0,959.31,"In 2007, the district Kozhikode had an area of 3568.13 hectares dedicated to pepper cultivation, producing 959.31 tonnes without any disruptions."
Wayanad,12490.25,6588.91,2007,0,0,0.0,6588.91,"In 2007, the district Wayanad had an area of 12490.25 hectares dedicated to pepper cultivation, producing 6588.91 tonnes without any disruptions."
Kannur,4278.7,1556.53,2007,0,0,0.0,1556.53,"In 2007, the district Kannur had an area of 4278.7 hectares dedicated to pepper cultivation, producing 1556.53 tonnes without any disruptions."
Kasaragode,2727.1,1180.39,2007,0,0,0.0,1180.39,"In 2007, the district Kasaragode had an area of 2727.1 hectares dedicated to pepper cultivation, producing 1180.39 tonnes without any disruptions."
Thiruvananthapuram,2184.18,925.87,2008,0,0,0.0,925.87,"In 2008, the district Thiruvananthapuram had an area of 2184.18 hectares dedicated to pepper cultivation, producing 925.87 tonnes without any disruptions."
Kollam,3199.43,1050.14,2008,0,0,0.0,1050.14,"In 2008, the district Kollam had an area of 3199.43 hectares dedicated to pepper cultivation, producing 1050.14 tonnes without any disruptions."
Pathanamthitta,1627.01,570.93,2008,0,0,0.0,570.93,"In 2008, the district Pathanamthitta had an area of 1627.01 hectares dedicated to pepper cultivation, producing 570.93 tonnes without any disruptions."
Alappuzha,624.4,135.83,2008,0,0,0.0,135.83,"In 2008, the district Alappuzha had an area of 624.4 hectares dedicated to pepper cultivation, producing 135.83 tonnes without any disruptions."
Kottayam,3155.32,1128.65,2008,0,0,0.0,1128.65,"In 2008, the district Kottayam had an area of 3155.32 hectares dedicated to pepper cultivation, producing 1128.65 tonnes without any disruptions."
Idukki,42730.59,25516.85,2008,0,0,0.0,25516.85,"In 2008, the district Idukki had an area of 42730.59 hectares dedicated to pepper cultivation, producing 25516.85 tonnes without any disruptions."
Ernakulam,1943.09,548.48,2008,0,0,0.0,548.48,"In 2008, the district Ernakulam had an area of 1943.09 hectares dedicated to pepper cultivation, producing 548.48 tonnes without any disruptions."
Thrissur,1745.12,466.99,2008,0,0,0.0,466.99,"In 2008, the district Thrissur had an area of 1745.12 hectares dedicated to pepper cultivation, producing 466.99 tonnes without any disruptions."
Palakkad,2487.51,945.45,2008,0,0,0.0,945.45,"In 2008, the district Palakkad had an area of 2487.51 hectares dedicated to pepper cultivation, producing 945.45 tonnes without any disruptions."
Malappuram,3013.08,471.76,2008,0,0,0.0,471.76,"In 2008, the district Malappuram had an area of 3013.08 hectares dedicated to pepper cultivation, producing 471.76 tonnes without any disruptions."
Kozhikode,3379.78,908.67,2008,0,0,0.0,908.67,"In 2008, the district Kozhikode had an area of 3379.78 hectares dedicated to pepper cultivation, producing 908.67 tonnes without any disruptions."
Wayanad,11969.31,6314.1,2008,0,0,0.0,6314.1,"In 2008, the district Wayanad had an area of 11969.31 hectares dedicated to pepper cultivation, producing 6314.1 tonnes without any disruptions."
Kannur,4179.24,1520.35,2008,0,0,0.0,1520.35,"In 2008, the district Kannur had an area of 4179.24 hectares dedicated to pepper cultivation, producing 1520.35 tonnes without any disruptions."
Kasaragode,2653.94,1148.72,2008,0,0,0.0,1148.72,"In 2008, the district Kasaragode had an area of 2653.94 hectares dedicated to pepper cultivation, producing 1148.72 tonnes without any disruptions."
Thiruvananthapuram,2391.53,1013.77,2009,0,0,0.0,1013.77,"In 2009, the district Thiruvananthapuram had an area of 2391.53 hectares dedicated to pepper cultivation, producing 1013.77 tonnes without any disruptions."
Kollam,3432.6,1126.68,2009,0,0,0.0,1126.68,"In 2009, the district Kollam had an area of 3432.6 hectares dedicated to pepper cultivation, producing 1126.68 tonnes without any disruptions."
Pathanamthitta,1729.77,606.99,2009,0,0,0.0,606.99,"In 2009, the district Pathanamthitta had an area of 1729.77 hectares dedicated to pepper cultivation, producing 606.99 tonnes without any disruptions."
Alappuzha,638.88,138.98,2009,0,0,0.0,138.98,"In 2009, the district Alappuzha had an area of 638.88 hectares dedicated to pepper cultivation, producing 138.98 tonnes without any disruptions."
Kottayam,3312.63,1184.92,2009,0,0,0.0,1184.92,"In 2009, the district Kottayam had an area of 3312.63 hectares dedicated to pepper cultivation, producing 1184.92 tonnes without any disruptions."
Idukki,41355.84,24695.91,2009,0,0,0.0,24695.91,"In 2009, the district Idukki had an area of 41355.84 hectares dedicated to pepper cultivation, producing 24695.91 tonnes without any disruptions."
Ernakulam,1940.29,547.69,2009,0,0,0.0,547.69,"In 2009, the district Ernakulam had an area of 1940.29 hectares dedicated to pepper cultivation, producing 547.69 tonnes without any disruptions."
Thrissur,1797.04,480.88,2009,0,0,0.0,480.88,"In 2009, the district Thrissur had an area of 1797.04 hectares dedicated to pepper cultivation, producing 480.88 tonnes without any disruptions."
Palakkad,2587.17,983.33,2009,0,0,0.0,983.33,"In 2009, the district Palakkad had an area of 2587.17 hectares dedicated to pepper cultivation, producing 983.33 tonnes without any disruptions."
Malappuram,3054.37,478.22,2009,0,0,0.0,478.22,"In 2009, the district Malappuram had an area of 3054.37 hectares dedicated to pepper cultivation, producing 478.22 tonnes without any disruptions."
Kozhikode,3410.77,917.0,2009,0,0,0.0,917.0,"In 2009, the district Kozhikode had an area of 3410.77 hectares dedicated to pepper cultivation, producing 917.0 tonnes without any disruptions."
Wayanad,12010.64,6335.91,2009,0,0,0.0,6335.91,"In 2009, the district Wayanad had an area of 12010.64 hectares dedicated to pepper cultivation, producing 6335.91 tonnes without any disruptions."
Kannur,4152.86,1510.75,2009,0,0,0.0,1510.75,"In 2009, the district Kannur had an area of 4152.86 hectares dedicated to pepper cultivation, producing 1510.75 tonnes without any disruptions."
Kasaragode,2726.98,1180.33,2009,0,0,0.0,1180.33,"In 2009, the district Kasaragode had an area of 2726.98 hectares dedicated to pepper cultivation, producing 1180.33 tonnes without any disruptions."
Thiruvananthapuram,2365.92,1002.91,2010,0,0,0.0,1002.91,"In 2010, the district Thiruvananthapuram had an area of 2365.92 hectares dedicated to pepper cultivation, producing 1002.91 tonnes without any disruptions."
Kollam,3450.12,1132.43,2010,0,0,0.0,1132.43,"In 2010, the district Kollam had an area of 3450.12 hectares dedicated to pepper cultivation, producing 1132.43 tonnes without any disruptions."
Pathanamthitta,1622.84,569.47,2010,0,0,0.0,569.47,"In 2010, the district Pathanamthitta had an area of 1622.84 hectares dedicated to pepper cultivation, producing 569.47 tonnes without any disruptions."
Alappuzha,616.66,134.14,2010,0,0,0.0,134.14,"In 2010, the district Alappuzha had an area of 616.66 hectares dedicated to pepper cultivation, producing 134.14 tonnes without any disruptions."
Kottayam,3188.45,1140.5,2010,0,0,0.0,1140.5,"In 2010, the district Kottayam had an area of 3188.45 hectares dedicated to pepper cultivation, producing 1140.5 tonnes without any disruptions."
Idukki,41507.57,24786.52,2010,0,0,0.0,24786.52,"In 2010, the district Idukki had an area of 41507.57 hectares dedicated to pepper cultivation, producing 24786.52 tonnes without any disruptions."
Ernakulam,1796.03,506.97,2010,0,0,0.0,506.97,"In 2010, the district Ernakulam had an area of 1796.03 hectares dedicated to pepper cultivation, producing 506.97 tonnes without any disruptions."
Thrissur,1760.93,471.22,2010,0,0,0.0,471.22,"In 2010, the district Thrissur had an area of 1760.93 hectares dedicated to pepper cultivation, producing 471.22 tonnes without any disruptions."
Palakkad,2621.17,996.25,2010,0,0,0.0,996.25,"In 2010, the district Palakkad had an area of 2621.17 hectares dedicated to pepper cultivation, producing 996.25 tonnes without any disruptions."
Malappuram,2886.06,451.87,2010,0,0,0.0,451.87,"In 2010, the district Malappuram had an area of 2886.06 hectares dedicated to pepper cultivation, producing 451.87 tonnes without any disruptions."
Kozhikode,3480.53,935.76,2010,0,0,0.0,935.76,"In 2010, the district Kozhikode had an area of 3480.53 hectares dedicated to pepper cultivation, producing 935.76 tonnes without any disruptions."
Wayanad,12751.73,6726.85,2010,0,0,0.0,6726.85,"In 2010, the district Wayanad had an area of 12751.73 hectares dedicated to pepper cultivation, producing 6726.85 tonnes without any disruptions."
Kannur,4210.78,1531.82,2010,0,0,0.0,1531.82,"In 2010, the district Kannur had an area of 4210.78 hectares dedicated to pepper cultivation, producing 1531.82 tonnes without any disruptions."
Kasaragode,2876.6,1245.1,2010,0,0,0.0,1245.1,"In 2010, the district Kasaragode had an area of 2876.6 hectares dedicated to pepper cultivation, producing 1245.1 tonnes without any disruptions."
Thiruvananthapuram,2399.04,1016.95,2011,0,0,0.0,1016.95,"In 2011, the district Thiruvananthapuram had an area of 2399.04 hectares dedicated to pepper cultivation, producing 1016.95 tonnes without any disruptions."
Kollam,3247.34,1065.87,2011,0,0,0.0,1065.87,"In 2011, the district Kollam had an area of 3247.34 hectares dedicated to pepper cultivation, producing 1065.87 tonnes without any disruptions."
Pathanamthitta,1706.53,598.84,2011,0,0,0.0,598.84,"In 2011, the district Pathanamthitta had an area of 1706.53 hectares dedicated to pepper cultivation, producing 598.84 tonnes without any disruptions."
Alappuzha,603.73,131.33,2011,0,0,0.0,131.33,"In 2011, the district Alappuzha had an area of 603.73 hectares dedicated to pepper cultivation, producing 131.33 tonnes without any disruptions."
